,taxID,accession,length,date,organism,reference,gene_information,sampling_locality,outgroup,genus,epithet
11_KU852297.1,1968697,KU852297.1,785,30-NOV-2017,Suillus sp. RZ-2017a,"location: [0:785]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Daqing Shan Forest, Huili, Sichuan province']",False,Suillus,sp. RZ-2017a
13_MH890579.1,1935359,MH890579.1,694,23-MAR-2019,Rhizopogon sp.,"location: [0:694]
authors: Mujic,A.B., Zheng,N., Kim,K., Spatafora,J.W., Castellano,M.A. and Smith,M.E.
title: The Cedrus-associated truffle Trappeindia himalayensis is a morphologically unique and phylogenetically divergent species of Rhizopogon
journal: Mycologia, 1-10 (2019) In press
medline id: 
pubmed id: 30753119
comment: Publication Status: Available-Online prior to print
",['RPB2'],['USA'],False,Rhizopogon,sp.
14_KU852327.1,1930190,KU852327.1,745,30-NOV-2017,Suillus alpinus,"location: [0:745]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Gongbu Natural Conservatism, Langlu Zhen, Nyingchi, Tibet']",False,Suillus,alpinus
15_KU852326.1,1930189,KU852326.1,703,30-NOV-2017,Suillus aurihymenius,"location: [0:703]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Genhe City, Inner Mongolia']",False,Suillus,aurihymenius
16_KU852294.1,1928356,KU852294.1,685,30-NOV-2017,Suillus sp.,"location: [0:685]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb2'],"['China: Lijiang, Yunnan province']",False,Suillus,sp.
17_LC043086.1,1918494,LC043086.1,795,19-JAN-2017,Singerocomus inundabilis,"authors: Henkel,T.W., Obase,K., Husbands,D., Uehling,J.K., Bonito,G., Aime,M.C. and Smith,M.E.
title: New Boletaceae taxa from Guyana: Binderoboletus segoi gen. and sp. nov., Guyanaporus albipodus gen. and sp. nov., Singerocomus rubriflavus gen. and sp. nov., and a new combination for Xerocomus inundabilis
journal: Mycologia 108 (1), 157-173 (2016)
medline id: 
pubmed id: 26490700
comment: Erratum:[Mycologia. 2016 Mar;108(2):469. PMID: 27127214]
",['rpb2'],['Guyana'],False,Singerocomus,inundabilis
18_MK766366.1,1916381,MK766366.1,770,18-DEC-2019,Strobilomyces sp.,"location: [0:770]
authors: Kuo,M. and Ortiz-Santana,B.
title: Revision of leccinoid fungi, with emphasis on North American taxa, based on molecular and morphological data
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['Dominican Republic'],False,Strobilomyces,sp.
19_KU974145.1,1914392,KU974145.1,705,01-NOV-2017,Sutorius sp. HKAS 58724,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes in China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['China'],False,Sutorius,sp. HKAS 58724
20_KU974144.1,1914391,KU974144.1,705,01-NOV-2017,Sutorius sp. HKAS 59443,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes in China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['China'],False,Sutorius,sp. HKAS 59443
22_KT990481.1,1914216,KT990481.1,705,06-NOV-2016,Tengioboletus reticulatus,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Tengioboletus,reticulatus
23_KT990480.1,1914215,KT990480.1,705,06-NOV-2016,Tengioboletus glutinosus,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Tengioboletus,glutinosus
24_MG212627.1,1914213,MG212627.1,770,02-MAY-2019,Chiua virens,"location: [0:770]
authors: Vadthanarat,S., Raspe,O. and Lumyong,S.
title: Phylogenetic affinities of the sequestrate genus Rhodactina (Boletaceae), with a new species, R. rostratispora from Thailand
journal: MycoKeys (29), 63-80 (2018)
medline id: 
pubmed id: 29559826
comment: Publication Status: Online-Only
",['rpb2'],['China'],False,Chiua,virens
25_KT990388.1,1914212,KT990388.1,597,06-NOV-2016,Tylocinum griseolum,"location: [0:597]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Tylocinum,griseolum
26_KT990373.1,1914186,KT990373.1,702,06-NOV-2016,Boletellus sp. HKAS 74907,"location: [0:702]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Boletellus,sp. HKAS 74907
27_KT990378.1,1914185,KT990378.1,702,06-NOV-2016,Butyriboletus sp. MHHNU 7456,"location: [0:702]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Butyriboletus,sp. MHHNU 7456
28_KT990503.1,1914181,KT990503.1,580,06-NOV-2016,Harrya sp. HKAS 90194,"location: [0:580]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Harrya,sp. HKAS 90194
29_KT990498.1,1914180,KT990498.1,583,06-NOV-2016,Harrya sp. HKAS 50526,"location: [0:583]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Harrya,sp. HKAS 50526
30_KT990426.1,1914179,KT990426.1,592,06-NOV-2016,Harrya sp. HKAS 51181,"location: [0:592]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Harrya,sp. HKAS 51181
31_KT990414.1,1914178,KT990414.1,704,06-NOV-2016,Hemileccinum sp. HKAS 59445,"location: [0:704]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Hemileccinum,sp. HKAS 59445
32_KT990421.1,1914177,KT990421.1,705,06-NOV-2016,Leccinellum sp. HKAS 53410,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Leccinellum,sp. HKAS 53410
33_KT990454.1,1914172,KT990454.1,703,06-NOV-2016,Pulveroboletus sp. HKAS 52615,"location: [0:703]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Pulveroboletus,sp. HKAS 52615
34_KT990457.1,1914167,KT990457.1,597,06-NOV-2016,Tylopilus sp. HKAS 90202,"location: [0:597]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Tylopilus,sp. HKAS 90202
35_KT990389.1,1914166,KT990389.1,597,06-NOV-2016,Tylopilus sp. HKAS 50211,"location: [0:597]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Tylopilus,sp. HKAS 50211
36_KT990430.1,1914164,KT990430.1,703,06-NOV-2016,Sutorius ferrugineus,"location: [0:703]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Neoboletus,ferrugineus
37_KT990428.1,1914158,KT990428.1,584,06-NOV-2016,Chiua olivaceoreticulata,"location: [0:584]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Chiua,olivaceoreticulata
38_KT990491.1,1914106,KT990491.1,693,06-NOV-2016,Xerocomus subparvus,"location: [0:693]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Xerocomus,subparvus
39_KT990494.1,1914100,KT990494.1,692,06-NOV-2016,Xerocomellus communis,"location: [0:692]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Xerocomellus,communis
40_KT990492.1,1914099,KT990492.1,693,06-NOV-2016,Xerocomellus corneri,"location: [0:693]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Xerocomellus,corneri
41_KY271047.1,1914098,KY271047.1,692,30-NOV-2018,Xanthoconium sinense,"location: [0:692]
authors: Liang,Z.Q., Chai,H., Jiang,S., Ye,Z.K. and Zeng,N.K.
title: The genus Xanthoconium (Boletaceae, Boletales) in tropical China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB2'],['China: Hainan Province'],False,Xanthoconium,sinense
42_KT990487.1,1914097,KT990487.1,704,06-NOV-2016,Xanthoconium porophyllum,"location: [0:704]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Xanthoconium,porophyllum
43_KT990504.1,1914096,KT990504.1,597,06-NOV-2016,Tylopilus violaceobrunneus,"location: [0:597]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Tylopilus,violaceobrunneus
44_KT990507.1,1914092,KT990507.1,572,06-NOV-2016,Tylopilus brunneirubens,"location: [0:572]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Tylopilus,brunneirubens
45_KF112687.1,1914089,KF112687.1,706,23-APR-2014,Tylopilus alpinus,"location: [0:706]
authors: Wu,G., Feng,B., Xu,J., Zhu,X.-T., Li,Y.-C., Zeng,N.-K., Hosen,M.I. and Yang,Z.-L.
title: Molecular phylogenetic analyses redefine seven major clades and reveal 22 new generic clades in the fungal family Boletaceae
journal: Fungal Divers. (2014) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",['RPB2'],['China'],False,Tylopilus,alpinus
47_KT990478.1,1914086,KT990478.1,704,06-NOV-2016,Suillellus subamygdalinus,"location: [0:704]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Suillellus,subamygdalinus
48_KX869384.1,1914085,KX869384.1,662,14-NOV-2017,Strobilomyces atrosquamosus,"location: [0:662]
authors: Han,L.H., Feng,B., Wu,G., Roy,E.H., Bart,B., Nourou,S.Y., Sydney,T.N.E. and Zhu,L.Y.
title: African origin and global distribution patterns: Evidence inferred from phylogenetic and biogeographical analyses of ectomycorrhizal fungal genus Strobilomyces
journal: J. Biogeogr. (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print DOI: 10.1111/jbi.13094
",['rpb2'],,False,Strobilomyces,atrosquamosus
49_KT990427.1,1914084,KT990427.1,601,06-NOV-2016,Royoungia reticulata,"location: [0:601]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Royoungia,reticulata
50_KT990347.1,1914082,KT990347.1,586,06-NOV-2016,Royoungia coccineinana,"location: [0:586]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Royoungia,coccineinana
51_KX453839.1,1914080,KX453839.1,696,02-JUL-2017,Pulveroboletus macrosporus,"location: [0:696]
authors: Zeng,N.K., Liang,Z.Q., Tang,L.P., Li,Y.C. and Yang,Z.L.
title: The genus Pulveroboletus (Boletaceae, Boletales) in China
journal: Mycologia, 1-21 (2017) In press
medline id: 
pubmed id: 28636496
comment: Publication Status: Available-Online prior to print
",['RPB2'],['China: Yunnan Province'],False,Pulveroboletus,macrosporus
52_KT990451.1,1914079,KT990451.1,703,06-NOV-2016,Pulveroboletus aff. ravenelii,"location: [0:703]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Pulveroboletus,aff. ravenelii
53_KT990461.1,1914078,KT990461.1,597,06-NOV-2016,Porphyrellus orientifumosipes,"location: [0:597]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Porphyrellus,orientifumosipes
54_MG212641.1,1914077,MG212641.1,766,02-MAY-2019,Porphyrellus castaneus,"location: [0:766]
authors: Vadthanarat,S., Raspe,O. and Lumyong,S.
title: Phylogenetic affinities of the sequestrate genus Rhodactina (Boletaceae), with a new species, R. rostratispora from Thailand
journal: MycoKeys (29), 63-80 (2018)
medline id: 
pubmed id: 29559826
comment: Publication Status: Online-Only
",['rpb2'],['China'],False,Porphyrellus,castaneus
55_KT990448.1,1914075,KT990448.1,706,06-NOV-2016,Neoboletus venenatus,"location: [0:706]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Neoboletus,venenatus
57_KT990443.1,1914073,KT990443.1,622,06-NOV-2016,Neoboletus sanguineus,"location: [0:622]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Neoboletus,sanguineus
58_KT990440.1,1914072,KT990440.1,706,06-NOV-2016,Neoboletus sanguineoides,"location: [0:706]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Neoboletus,sanguineoides
59_KT990437.1,1914071,KT990437.1,706,06-NOV-2016,Neoboletus rubriporus,"location: [0:706]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Neoboletus,rubriporus
60_MK372294.1,1914070,MK372294.1,765,03-JUL-2019,Neoboletus obscureumbrinus,"location: [0:765]
authors: Vadthanarat,S., Lumyong,S. and Raspe,O.
title: Cacaoporus, a new Boletaceae genus, with two new species from Thailand
journal: MycoKeys 54, 1-29 (2019)
medline id: 
pubmed id: 31231163
comment: Publication Status: Online-Only
",['rpb2'],['Thailand'],False,Neoboletus,obscureumbrinus
61_KT990432.1,1914069,KT990432.1,706,06-NOV-2016,Neoboletus hainanensis,"location: [0:706]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Neoboletus,hainanensis
62_KT990420.1,1914066,KT990420.1,702,06-NOV-2016,Leccinellum cremeum,"location: [0:702]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Leccinellum,cremeum
63_KT990417.1,1914065,KT990417.1,704,06-NOV-2016,Hortiboletus subpaludosus,"location: [0:704]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Hortiboletus,subpaludosus
64_KT990415.1,1914064,KT990415.1,704,06-NOV-2016,Hortiboletus amygdalinus,"location: [0:704]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Hortiboletus,amygdalinus
65_KT990411.1,1914062,KT990411.1,705,06-NOV-2016,Hemileccinum rugosum,"location: [0:705]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Hemileccinum,rugosum
66_KT990501.1,1914060,KT990501.1,592,06-NOV-2016,Harrya subalpina,"location: [0:592]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Harrya,subalpina
67_KT990500.1,1914058,KT990500.1,601,06-NOV-2016,Harrya moniliformis,"location: [0:601]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Harrya,moniliformis
68_KT990499.1,1914057,KT990499.1,601,06-NOV-2016,Harrya atrogrisea,"location: [0:601]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb2'],['China'],False,Harrya,atrogrisea
