,taxID,accession,length,date,organism,reference,gene_information,sampling_locality,outgroup,genus,epithet
17_KT380015.1,1918494,KT380015.1,715,17-NOV-2016,Singerocomus inundabilis,"location: [0:715]
authors: Henkel,T.W., Obase,K., Husbands,D., Uehling,J.K., Bonito,G., Aime,M.C. and Smith,M.E.
title: New Boletaceae taxa from Guyana: Binderoboletus segoi gen. and sp. nov., Guyanaporus albipodus gen. and sp. nov., Singerocomus rubriflavus gen. and sp. nov., and a new combination for Xerocomus inundabilis
journal: Mycologia 108 (1), 157-173 (2016)
medline id: 
pubmed id: 26490700
comment: Erratum:[Mycologia. 2016 Mar;108(2):469. PMID: 27127214]
",['28S ribosomal RNA'],['Guyana'],False,Singerocomus,inundabilis
18_KU974140.1,1914392,KU974140.1,834,01-NOV-2017,Sutorius sp. HKAS 58724,"location: [0:834]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes in China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Sutorius,sp. HKAS 58724
19_KU974139.1,1914391,KU974139.1,834,01-NOV-2017,Sutorius sp. HKAS 59443,"location: [0:834]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes in China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Sutorius,sp. HKAS 59443
20_KT990676.1,1914360,KT990676.1,811,06-NOV-2016,Xerocomus sp. HKAS 67749,"location: [0:811]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomus,sp. HKAS 67749
21_KT990675.1,1914359,KT990675.1,810,06-NOV-2016,Xerocomus sp. HKAS 57765,"location: [0:810]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomus,sp. HKAS 57765
22_KT990674.1,1914358,KT990674.1,810,06-NOV-2016,Xerocomus sp. HKAS 57339,"location: [0:810]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomus,sp. HKAS 57339
23_KT990658.1,1914218,KT990658.1,806,06-NOV-2016,Tengioboletus sp. HKAS 77869,"location: [0:806]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Tengioboletus,sp. HKAS 77869
24_NG_059629.1,1914216,NG_059629.1,843,05-JUN-2018,Tengioboletus reticulatus,"location: [0:843]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Tengioboletus,reticulatus
25_KT990655.1,1914215,KT990655.1,839,06-NOV-2016,Tengioboletus glutinosus,"location: [0:839]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Tengioboletus,glutinosus
26_KX017299.1,1914213,KX017299.1,916,30-DEC-2016,Chiua virens,"location: [0:916]
authors: Thongkantha,S., Thongklam,S., Lumyong,S. and Bussaban,B.
title: Diversity and molecular phylogeny of boletes (emphasized on Boletaceae) from three highland forests in Chiang Mai, Thailand
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],,False,Chiua,virens
27_KT990551.1,1914212,KT990551.1,820,06-NOV-2016,Tylocinum griseolum,"location: [0:820]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Tylocinum,griseolum
28_KT990539.1,1914185,KT990539.1,825,06-NOV-2016,Butyriboletus sp. MHHNU 7456,"location: [0:825]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Butyriboletus,sp. MHHNU 7456
29_KT990700.1,1914181,KT990700.1,844,06-NOV-2016,Harrya sp. HKAS 90194,"location: [0:844]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],,False,Harrya,sp. HKAS 90194
30_KT990693.1,1914180,KT990693.1,843,06-NOV-2016,Harrya sp. HKAS 50526,"location: [0:843]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Harrya,sp. HKAS 50526
31_KT990591.1,1914179,KT990591.1,843,06-NOV-2016,Harrya sp. HKAS 51181,"location: [0:843]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Harrya,sp. HKAS 51181
32_KT990579.1,1914178,KT990579.1,841,06-NOV-2016,Hemileccinum sp. HKAS 59445,"location: [0:841]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Hemileccinum,sp. HKAS 59445
33_KT990585.1,1914177,KT990585.1,845,06-NOV-2016,Leccinellum sp. HKAS 53410,"location: [0:845]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Leccinellum,sp. HKAS 53410
34_KT990619.1,1914172,KT990619.1,840,06-NOV-2016,Pulveroboletus sp. HKAS 52615,"location: [0:840]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Pulveroboletus,sp. HKAS 52615
35_KT990623.1,1914167,KT990623.1,827,06-NOV-2016,Tylopilus sp. HKAS 90202,"location: [0:827]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Tylopilus,sp. HKAS 90202
36_KT990552.1,1914166,KT990552.1,839,06-NOV-2016,Tylopilus sp. HKAS 50211,"location: [0:839]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Tylopilus,sp. HKAS 50211
37_KT990595.1,1914164,KT990595.1,757,06-NOV-2016,Sutorius ferrugineus,"location: [0:757]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Neoboletus,ferrugineus
38_NG_058930.1,1914158,NG_058930.1,836,30-MAY-2018,Chiua olivaceoreticulata,"location: [0:836]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Chiua,olivaceoreticulata
39_KT990690.1,1914108,KT990690.1,841,06-NOV-2016,Xerocomus yunnanensis,"location: [0:841]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomus,yunnanensis
40_NG_059633.1,1914107,NG_059633.1,810,05-JUN-2018,Xerocomus velutinus,"location: [0:810]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Xerocomus,velutinus
41_NG_059631.1,1914106,NG_059631.1,841,05-JUN-2018,Xerocomus subparvus,"location: [0:841]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Xerocomus,subparvus
42_KT990686.1,1914105,KT990686.1,811,06-NOV-2016,Xerocomus rugosellus,"location: [0:811]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomus,rugosellus
43_KT990684.1,1914104,KT990684.1,844,06-NOV-2016,Xerocomus piceicola,"location: [0:844]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomus,piceicola
44_KT990679.1,1914102,KT990679.1,842,06-NOV-2016,Xerocomus microcapoides,"location: [0:842]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomus,microcapoides
45_KT990672.1,1914101,KT990672.1,808,06-NOV-2016,Xerocomus fulvipes,"location: [0:808]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomus,fulvipes
46_NG_059632.1,1914100,NG_059632.1,807,05-JUN-2018,Xerocomellus communis,"location: [0:807]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Xerocomellus,communis
47_KT990668.1,1914099,KT990668.1,803,06-NOV-2016,Xerocomellus corneri,"location: [0:803]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xerocomellus,corneri
48_KY271030.1,1914098,KY271030.1,849,30-NOV-2018,Xanthoconium sinense,"location: [0:849]
authors: Zeng,N.K.
title: The genus Xanthoconium (Boletaceae, Boletales) in tropical China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China: Hainan Province'],False,Xanthoconium,sinense
49_KT990662.1,1914097,KT990662.1,804,06-NOV-2016,Xanthoconium porophyllum,"location: [0:804]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Xanthoconium,porophyllum
50_NG_059637.1,1914096,NG_059637.1,838,05-JUN-2018,Tylopilus violaceobrunneus,"location: [0:838]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Tylopilus,violaceobrunneus
51_KT990626.1,1914092,KT990626.1,838,06-NOV-2016,Tylopilus brunneirubens,"location: [0:838]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Tylopilus,brunneirubens
52_KT990643.1,1914089,KT990643.1,800,06-NOV-2016,Tylopilus alpinus,"location: [0:800]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Tylopilus,alpinus
53_KT990556.1,1914088,KT990556.1,675,06-NOV-2016,Tylopilus aff. virens,"location: [0:675]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Tylopilus,aff. virens
54_NG_059628.1,1914086,NG_059628.1,834,05-JUN-2018,Suillellus subamygdalinus,"location: [0:834]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Suillellus,subamygdalinus
55_KT990648.1,1914085,KT990648.1,828,06-NOV-2016,Strobilomyces atrosquamosus,"location: [0:828]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Strobilomyces,atrosquamosus
56_NG_059623.1,1914084,NG_059623.1,838,05-JUN-2018,Royoungia reticulata,"location: [0:838]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Royoungia,reticulata
57_NG_059620.1,1914083,NG_059620.1,806,05-JUN-2018,Royoungia grisea,"location: [0:806]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Royoungia,grisea
58_KT990508.1,1914082,KT990508.1,853,06-NOV-2016,Royoungia coccineinana,"location: [0:853]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Royoungia,coccineinana
59_NG_059624.1,1914080,NG_059624.1,792,05-JUN-2018,Pulveroboletus macrosporus,"location: [0:792]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Pulveroboletus,macrosporus
60_KT990616.1,1914079,KT990616.1,838,06-NOV-2016,Pulveroboletus aff. ravenelii,"location: [0:838]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S large subunit ribosomal RNA'],['China'],False,Pulveroboletus,aff. ravenelii
61_NG_059626.1,1914078,NG_059626.1,833,05-JUN-2018,Porphyrellus orientifumosipes,"location: [0:833]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Porphyrellus,orientifumosipes
62_NG_059636.1,1914077,NG_059636.1,837,05-JUN-2018,Porphyrellus castaneus,"location: [0:837]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['28S ribosomal RNA'],['China'],False,Porphyrellus,castaneus
